0,1,2,3,4,5,6
实体,属性,值,出处,原文,页码,标题
IODP Expedition 321T,pumped,cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B,Abstract,"Integrated Ocean Drilling Program (IODP) Expedition 321T pumped cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B in order to seal the systems and permit later completion of long-term hydrogeologic monitoring, sampling, and experiments. There was no scientific program during Expedition 321T and no collection of data or samples. Only observatory sealing operations were conducted. Reentry and cementing operations went well, and it appears that the functional objective of this short expedition was achieved. The cones around both observatories were filled completely with cement, and additional cement poured over the edges of the cones and filled the depressions in the seafloor around the cones. We will know if the observatories are sealed hydraulically when researchers return to the observatories with a submersible in August 2009 and download pressure data recording subseafloor conditions.",1,Expedition 321T Preliminary Report
cement,filled,cones around both observatories,Abstract,"Integrated Ocean Drilling Program (IODP) Expedition 321T pumped cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B in order to seal the systems and permit later completion of long-term hydrogeologic monitoring, sampling, and experiments. There was no scientific program during Expedition 321T and no collection of data or samples. Only observatory sealing operations were conducted. Reentry and cementing operations went well, and it appears that the functional objective of this short expedition was achieved. The cones around both observatories were filled completely with cement, and additional cement poured over the edges of the cones and filled the depressions in the seafloor around the cones. We will know if the observatories are sealed hydraulically when researchers return to the observatories with a submersible in August 2009 and download pressure data recording subseafloor conditions.",1,Expedition 321T Preliminary Report
cement,poured,over the edges of the cones and filled the depressions in the seafloor around the cones,Abstract,"Integrated Ocean Drilling Program (IODP) Expedition 321T pumped cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B in order to seal the systems and permit later completion of long-term hydrogeologic monitoring, sampling, and experiments. There was no scientific program during Expedition 321T and no collection of data or samples. Only observatory sealing operations were conducted. Reentry and cementing operations went well, and it appears that the functional objective of this short expedition was achieved. The cones around both observatories were filled completely with cement, and additional cement poured over the edges of the cones and filled the depressions in the seafloor around the cones. We will know if the observatories are sealed hydraulically when researchers return to the observatories with a submersible in August 2009 and download pressure data recording subseafloor conditions.",1,Expedition 321T Preliminary Report
Expedition 321T,conducted,only observatory sealing operations,Abstract,"Integrated Ocean Drilling Program (IODP) Expedition 321T pumped cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B in order to seal the systems and permit later completion of long-term hydrogeologic monitoring, sampling, and experiments. There was no scientific program during Expedition 321T and no collection of data or samples. Only observatory sealing operations were conducted. Reentry and cementing operations went well, and it appears that the functional objective of this short expedition was achieved. The cones around both observatories were filled completely with cement, and additional cement poured over the edges of the cones and filled the depressions in the seafloor around the cones. We will know if the observatories are sealed hydraulically when researchers return to the observatories with a submersible in August 2009 and download pressure data recording subseafloor conditions.",1,Expedition 321T Preliminary Report
Expedition 321T,achieved,functional objective,Abstract,"Integrated Ocean Drilling Program (IODP) Expedition 321T pumped cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B in order to seal the systems and permit later completion of long-term hydrogeologic monitoring, sampling, and experiments. There was no scientific program during Expedition 321T and no collection of data or samples. Only observatory sealing operations were conducted. Reentry and cementing operations went well, and it appears that the functional objective of this short expedition was achieved. The cones around both observatories were filled completely with cement, and additional cement poured over the edges of the cones and filled the depressions in the seafloor around the cones. We will know if the observatories are sealed hydraulically when researchers return to the observatories with a submersible in August 2009 and download pressure data recording subseafloor conditions.",1,Expedition 321T Preliminary Report
researchers,will return,to the observatories with a submersible in August 2009,Abstract,"Integrated Ocean Drilling Program (IODP) Expedition 321T pumped cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B in order to seal the systems and permit later completion of long-term hydrogeologic monitoring, sampling, and experiments. There was no scientific program during Expedition 321T and no collection of data or samples. Only observatory sealing operations were conducted. Reentry and cementing operations went well, and it appears that the functional objective of this short expedition was achieved. The cones around both observatories were filled completely with cement, and additional cement poured over the edges of the cones and filled the depressions in the seafloor around the cones. We will know if the observatories are sealed hydraulically when researchers return to the observatories with a submersible in August 2009 and download pressure data recording subseafloor conditions.",1,Expedition 321T Preliminary Report
researchers,will download,pressure data recording subseafloor conditions,Abstract,"Integrated Ocean Drilling Program (IODP) Expedition 321T pumped cement into reentry cones around subseafloor borehole observatories in IODP Holes U1301A and U1301B in order to seal the systems and permit later completion of long-term hydrogeologic monitoring, sampling, and experiments. There was no scientific program during Expedition 321T and no collection of data or samples. Only observatory sealing operations were conducted. Reentry and cementing operations went well, and it appears that the functional objective of this short expedition was achieved. The cones around both observatories were filled completely with cement, and additional cement poured over the edges of the cones and filled the depressions in the seafloor around the cones. We will know if the observatories are sealed hydraulically when researchers return to the observatories with a submersible in August 2009 and download pressure data recording subseafloor conditions.",1,Expedition 321T Preliminary Report
Expedition 301,was part of,series of expeditions and experiments,Introduction,"Integrated Ocean Drilling Program (IODP) Expedition 301 was part of a series of expeditions and experiments to quantify hydrogeologic, lithologic, biogeochemical, and microbiological properties, processes, and linkages on the eastern flank of the Juan de Fuca Ridge (Fig. F1). Operations during Expedition 301 included replacing one existing subseafloor borehole observatory (CORK), drilling two basement holes and installing two new long-term observatories, coring the upper \~300 m of basement and shallow sediments above basement, and collecting in situ hydrogeologic and geophysical data from basement. Subsequent remotely operated vehicle (ROV) and submersible expeditions have serviced IODP observatories, collecting pressure and temperature data and fluid and microbiological samples and replacing components as needed to maintain these systems for future use. Another drilling expedition (approved by the IODP Science Planning Committee and awaiting scheduling by the Operations Task Force) is planned to emplace three more borehole observatories and initiate crosshole tests, and additional ROV and submersible expeditions will conduct long-term experiments and recover subseafloor data and samples.",1,Expedition 321T Preliminary Report
Expedition 301,aimed to,"quantify hydrogeologic, lithologic, biogeochemical, and microbiological properties, processes, and linkages",Introduction,"Integrated Ocean Drilling Program (IODP) Expedition 301 was part of a series of expeditions and experiments to quantify hydrogeologic, lithologic, biogeochemical, and microbiological properties, processes, and linkages on the eastern flank of the Juan de Fuca Ridge (Fig. F1). Operations during Expedition 301 included replacing one existing subseafloor borehole observatory (CORK), drilling two basement holes and installing two new long-term observatories, coring the upper \~300 m of basement and shallow sediments above basement, and collecting in situ hydrogeologic and geophysical data from basement. Subsequent remotely operated vehicle (ROV) and submersible expeditions have serviced IODP observatories, collecting pressure and temperature data and fluid and microbiological samples and replacing components as needed to maintain these systems for future use. Another drilling expedition (approved by the IODP Science Planning Committee and awaiting scheduling by the Operations Task Force) is planned to emplace three more borehole observatories and initiate crosshole tests, and additional ROV and submersible expeditions will conduct long-term experiments and recover subseafloor data and samples.",1,Expedition 321T Preliminary Report
Expedition 301,location,eastern flank of the Juan de Fuca Ridge,Introduction,"Integrated Ocean Drilling Program (IODP) Expedition 301 was part of a series of expeditions and experiments to quantify hydrogeologic, lithologic, biogeochemical, and microbiological properties, processes, and linkages on the eastern flank of the Juan de Fuca Ridge (Fig. F1). Operations during Expedition 301 included replacing one existing subseafloor borehole observatory (CORK), drilling two basement holes and installing two new long-term observatories, coring the upper \~300 m of basement and shallow sediments above basement, and collecting in situ hydrogeologic and geophysical data from basement. Subsequent remotely operated vehicle (ROV) and submersible expeditions have serviced IODP observatories, collecting pressure and temperature data and fluid and microbiological samples and replacing components as needed to maintain these systems for future use. Another drilling expedition (approved by the IODP Science Planning Committee and awaiting scheduling by the Operations Task Force) is planned to emplace three more borehole observatories and initiate crosshole tests, and additional ROV and submersible expeditions will conduct long-term experiments and recover subseafloor data and samples.",1,Expedition 321T Preliminary Report
