0,1,2,3,4,5,6
实体,属性,值,出处,原文,页码,标题
hotspot tracks,provide,important records of plate motions,Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
Tristan-Gough-Walvis Ridge (TGW) hotspot track,extends,from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province,Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
Tristan-Gough-Walvis Ridge (TGW) hotspot track,displays,a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My),Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
Tristan-Gough-Walvis Ridge (TGW) track,is,"alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts, and areas of what appear to be randomly dispersed seamounts",Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
Tristan-Gough-Walvis Ridge (TGW) track,displays,isotopic zonation over the last \~70 My,Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
isotopic zonation,appears,near the middle of the Tristan-Gough-Walvis Ridge (TGW) track just before it splits into two to three chains of ridge- and guyot-type seamounts,Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
older ridge,is overprinted with,age-progressive late-stage volcanism,Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
age-progressive late-stage volcanism,was emplaced,\~30–40 My after the initial eruptions,Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
age-progressive late-stage volcanism,has,a distinct isotopic composition,Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
Expedition 391,planned to drill,"at six sites, three along Walvis Ridge and three in the seamount (guyot) province",Abstract,"Hotspot tracks (quasilinear chains of seamounts, ridges, and other volcanic structures) provid e important records of plate motions, as well as mantle geodynamics, magma flux, and mantl e source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from th e active volcanic islands of Tristan da Cunha and Gough through a province of guyots and the n along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent an d complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression i n which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are simple chains of seamounts that are often compared to chains of pearls, the TGW trac k is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains o f seamounts, and areas of what appear to be randomly dispersed seamounts. The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just befor e it splits into two to three chains of ridge- and guyot-type seamounts. The older ridge is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill a t six sites, three along Walvis Ridge and three in the seamount (guyot) province, to gather igneou s rocks to better understand the formation of track edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 Preliminary Report
